active_years,agency_links,agency_names,association_links,association_names,birth_name,birth_place,bloodtype,family,family_links,fandom,fandom_colors,group_debut,height,instruments,legal_name,link,name,occupation,partner_links,partners,socials,solo_debut,weight
2011–2016,https://kpop.fandom.com//wiki/DR_Music,DR Music,"https://kpop.fandom.com//wiki/RaNia,https://kpop.fandom.com//wiki/Ela8te","RaNia,Ela8te",Kim Da-rae (김다래),"Seoul, South Korea",O,,,,,"April 6, 2011",171 cm (5 ft 7 in),,,https://kpop.fandom.com/wiki/Da_Rae_(Ela8te),Darae,Singer,,,,,49 kg (108 lb)
2019–present,,,https://kpop.fandom.com//wiki/LIMETREE,LIMETREE,,,,,,,,,,,,https://kpop.fandom.com/wiki/Da_Hyeon_(LIMETREE),Da Hyeon,Trainee,,,https://www.instagram.com/moobooui/,,
2015–present,,,https://kpop.fandom.com//wiki/PPL,PPL,Lee Young-joo (이영주),"Busan, South Korea",B,,,,,,170 cm (5 ft 7 in),,,https://kpop.fandom.com/wiki/Da_Hee_(PPL),Da Hee,"Model, singer",,,https://www.instagram.com/visualdahee/,,48 kg (106 lb)
2017–present,,,https://kpop.fandom.com//wiki/BLANC7,BLANC7,Kim Yeon Hak (김연학),South Korea,B,Milo,https://kpop.fandom.com//wiki/Milo,,,,178 cm,,,https://kpop.fandom.com/wiki/D.L,D.L,Singer,,,,,64 kg
2019–present,https://kpop.fandom.com//wiki/Brave_Entertainment,Brave Entertainment,https://kpop.fandom.com//wiki/DKB,DKB,Jang Dong-il (장동일),"Sokcho, Gangwon-do, South Korea",A,,,,,"February 3, 2020",175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/D1,D1,"Singer, dancer",,,,,59 kg (130 lb)
2017–present,,,https://kpop.fandom.com//wiki/GreatGuys,GreatGuys,Lee Junghoon (이정훈),"Suwon, South Korea",A,,,,,"August 25, 2017",178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Da_Un_(GreatGuys),Da Un,Singer,,,,,63 kg (139 lb)
2012–present,https://kpop.fandom.com//wiki/SM_Entertainment,SM Entertainment,"https://kpop.fandom.com//wiki/EXO,https://kpop.fandom.com//wiki/EXO-K,https://kpop.fandom.com//wiki/SMTOWN","EXO,EXO-K,SMTOWN",Do Kyung-soo (도경수),"Goyang, Gyeonggi-do, South Korea",A,,,,,"April 8, 2012",172 cm (5 ft 8 in),,,https://kpop.fandom.com/wiki/D.O.,D.O.,"Singer, lyricist, actor",,,,"July 26, 2021",59 kg (130 lb)
2012–present,,,,,Lee Hyung-seok (이형석),,,,,,,,,,,https://kpop.fandom.com/wiki/D.ear,d.ear,"Singer-songwriter, composer",,,"https://www.facebook.com/NoteEar,https://www.instagram.com/d.ear/,https://twitter.com/d_earOfficial","December 20, 2012",
2018–present,https://kpop.fandom.com//wiki/P_Nation,P Nation,,"Show Me the Money 777,Show Me the Money 9,High School Rapper 4",Jīn Yǔlín (金雨霖),"Yanbian Korean Autonomous Prefecture, Jilin, China",,,,,,,,,,https://kpop.fandom.com/wiki/D.Ark,D.Ark,Rapper,,,"https://www.facebook.com/D.Ark.Official,https://www.instagram.com/dmofxxkinark/,https://soundcloud.com/k-hgh-546598561,https://www.tiktok.com/@official_d_ark,https://www.weibo.com/5808494381,https://www.youtube.com/channel/UCCEi5ralZRJcHShhKBcRtxA","December 30, 2020",
2019–present,https://kpop.fandom.com//wiki/A_team_Entertainment,A team Entertainment,https://kpop.fandom.com//wiki/BugAboo,bugAboo,Lee Chae-eun (이채은),"Sanbon-dong, Gunpo, Gyeonggi-do, South Korea",B,,,,,"October 25, 2021",,,,https://kpop.fandom.com/wiki/Cyan_(bugAboo),Cyan,Singer,,,,,
2014–present,https://kpop.fandom.com//wiki/TS_Entertainment,TS Entertainment,"https://kpop.fandom.com//wiki/SONAMOO,https://kpop.fandom.com//wiki/Girls_Next_Door","SONAMOO,Girls Next Door",Jo Eun-ae (조은애),"Seoul, South Korea",B,,,,,"December 29, 2014",167 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/D.ana,D.ana,"Singer, rapper",,,"https://www.instagram.com/_rlooh/,https://twitter.com/SONAMOO_Dana",,48 kg (106 lb)
2019–present,,,"https://kpop.fandom.com//wiki/ILUV,https://kpop.fandom.com//wiki/BOTOPASS","ILUV,BOTOPASS",Cuī Xiáng (崔乡),"Jilin, China",,,,,,"April 30, 2019",156 cm (5 ft 1 in),,,https://kpop.fandom.com/wiki/Cui_Xiang,Cui Xiang,Singer,,,,,42 kg (93 lb)
2016–present,https://kpop.fandom.com//wiki/RBW,RBW,"https://kpop.fandom.com//wiki/ONEWE,https://kpop.fandom.com//wiki/The_Unit","ONEWE,The Unit",Lee Gi-uk (이기욱),"Yeongtong-gu, Suwon, Gyeonggi-do, South Korea",A,,,,,"August 2, 2016",175 cm (5 ft 9 in),Bass,,https://kpop.fandom.com/wiki/CyA,CyA,"Rapper, musician, songwriter, composer, producer",,,https://soundcloud.com/latecya,,56 kg (123 lb)
2007-present,,,,,Park Se-yun (박세윤),,,,,,,,182 cm (6 ft 0 in),,,https://kpop.fandom.com/wiki/Crucial_Star,Crucial Star,Rapper,,,"https://www.facebook.com/realcrucialstar,https://www.instagram.com/crucialstar/,https://www.youtube.com/channel/CrucialStarOfficial","January 27, 2011",64 kg (141 lb)
2012–present,"https://kpop.fandom.com//wiki/P_Nation,https://kpop.fandom.com//wiki/Amoeba_Culture","P Nation,Amoeba Culture","https://kpop.fandom.com//wiki/Masterpiece,https://kpop.fandom.com//wiki/FANXY_CHILD","Masterpiece,FANXY CHILD",Shin Hyo-seob (신효섭),"Jamwon-dong, Seoul, South Korea",O,,,,,"May 17, 2012",175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Crush_(singer),Crush,"Singer, songwriter, producer",https://kpop.fandom.com//wiki/Joy_(Red_Velvet),Joy,"https://www.instagram.com/crush9244/,https://www.tiktok.com/@crush9244,https://twitter.com/crush9244,https://www.youtube.com/channel/UCEU3spVQMmXrU0Nqhw00Gpg","April 1, 2014",63 kg (139 lb)
2012–present,https://kpop.fandom.com//wiki/Choeun_Entertainment,Choeun Entertainment,"https://kpop.fandom.com//wiki/24K,https://kpop.fandom.com/#cite_note-1","24K,[1]",Cory Hong,"Daegu, South Korea",O,,,,,"September 7, 2012",175 cm,,,https://kpop.fandom.com/wiki/Corbyn,Corbyn,"Singer, producer",,,"https://www.instagram.com/corbyn28lab/,https://twitter.com/corbyn_28lab","February 27, 2019",58 kg
2015–present,,,https://kpop.fandom.com//wiki/Offonoff,offonoff,Kim Hee-su (김히스),,,,,,,"September 21, 2016",,,,https://kpop.fandom.com/wiki/Colde,Colde,"Rapper, singer-songwriter, composer",,,https://www.instagram.com/wavycolde/,"September 13, 2018",
2018–present,https://kpop.fandom.com//wiki/Yedam_Entertainment,Yedam Entertainment,"https://kpop.fandom.com//wiki/BYUL,_DAL","BYUL, DAL",Han Jung-hoon (한정훈),South Korea,A,,,,,"October 5, 2018",167 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Comma,Comma,"Musician, composer",,,,,60 kg (130 lb)
2012–present,"https://kpop.fandom.com//wiki/DAM_Entertainment,https://kpop.fandom.com//wiki/Starcubic_Entertainment","DAM Entertainment,Starcubic Entertainment","https://kpop.fandom.com//wiki/LABELUP,https://kpop.fandom.com//wiki/Icia,https://kpop.fandom.com//wiki/Switch_Berry,https://kpop.fandom.com//wiki/La_TTE","LABELUP,Icia,Switch Berry,La_TTE",Kim Hyogyeong (김효경),South Korea,B,,,,,"November 3, 2017",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Coca,Coca,"Singer, DJ",,,,,50 kg (110 lb)
2013–present,"https://kpop.fandom.com//wiki/Core_Contents_Media,https://kpop.fandom.com//wiki/CJ_E%26M","Core Contents Media,CJ E&M","https://kpop.fandom.com//wiki/CoCoSoRi,https://kpop.fandom.com//wiki/Blady","CoCoSoRi,Blady",Coco Lee (코코리),"Los Angeles, California, United States",A,,,,,,164 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/CoCo_(singer),CoCo,Singer,,,"https://www.instagram.com/rilaccoco/,https://www.tiktok.com/@rilaccoco,https://www.twitch.tv/rilaccoco,https://twitter.com/rilaccoco_,https://www.youtube.com/channel/UC4sQelfHFRVDQoiFYRyUFZA",,
2011–present,https://kpop.fandom.com//wiki/WM_Entertainment,WM Entertainment,https://kpop.fandom.com//wiki/B1A4,B1A4,Shin Dong-woo (신동우),"Chungbuk Cheongju, South Korea",A,,,,,"April 23, 2011",182 cm (6 ft 0 in),,,https://kpop.fandom.com/wiki/CNU,CNU,"Singer, rapper, actor",,,"https://www.facebook.com/realcnu,https://www.instagram.com/realcnu/,https://twitter.com/b1a4_cnu",,64 kg (141 lb)
2020–present,https://kpop.fandom.com//wiki/JYP_Entertainment,JYP Entertainment,https://kpop.fandom.com//wiki/Girls_Planet_999,"Girls Planet 999,COLOR,Produce Camp 2020",Cuī Wénměixiù (崔文美秀),"Harbin, Heilongjiang, China",,,,,,"September 25, 2020",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Cui_Wenmeixiu,Cui Wenmeixiu,Singer,,,https://www.weibo.com/6082099931,,
2021–present,https://kpop.fandom.com//wiki/The_Music_Works_Entertainment,The Music Works Entertainment,,,,,,,,,,,,,,https://kpop.fandom.com/wiki/Clo,Clo,"Singer-songwriter, composer",,,https://www.instagram.com/this1sclo/,"June 11, 2021",
2016—present,https://kpop.fandom.com//wiki/Space_Music_Entertainment,Space Music Entertainment,"https://kpop.fandom.com//wiki/Like_Me,https://kpop.fandom.com//wiki/New-A","Like Me,New-A",Kim Seul-bi (김슬비),"Daejeon, South Korea",O,,,,,"May 18, 2016",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Cindy_(Like_Me),Cindy,"Singer, rapper",,,"https://www.instagram.com/sb_527/,https://www.tiktok.com/@sb_527",,
2017–present,,,https://kpop.fandom.com//wiki/VAV,VAV,Kim Jung-eon (김정언),"Seobinggo-dong, Yongsan-gu, Seoul, South Korea",AB,,,,,,172cm,,,https://kpop.fandom.com/wiki/Cleaun,Claeun,"Singer-songwriter, producer",,,,,56kg
2009–present,"https://kpop.fandom.com/#cite_note-1,https://kpop.fandom.com//wiki/KONNECT_Entertainment,https://kpop.fandom.com/#cite_note-2,https://kpop.fandom.com//wiki/YG_Entertainment","[1],KONNECT Entertainment,[2],Schoolboy Records,YG Entertainment",https://kpop.fandom.com//wiki/2NE1,2NE1,Lee Chae-rin (이채린),"Seoul, South Korea",,Lee Haerin (younger sister),[None],GZBz,,"May 6, 2009",162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/CL,CL,"Singer, songwriter, rapper, model",,,"https://www.facebook.com/ChaelinCL,https://www.instagram.com/chaelincl/,https://twitter.com/chaelinCL,https://www.weverse.io/cl/artist,https://www.youtube.com/channel/UCuX8lXIexG8dRXFx54CVm2Q/","May 28, 2013",48 kg (106 lb)
2011,,,https://kpop.fandom.com//wiki/Leader%27S,Leader'S,,South Korea,,,,,,"March 22, 2011",,,,https://kpop.fandom.com/wiki/Cindy_(Leader%27S),Cindy,,,,,,
2018–2021,,,https://kpop.fandom.com//wiki/FlyWithMe,FlyWithMe,Wang Jing (王晶),,A,,,,,,174 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Chure,Chure,"Singer, dancer, model",,,"https://www.instagram.com/chure_fly/,https://www.tiktok.com/@malulu196,https://www.youtube.com/channel/UCtGb3teDuurC0Iv6FncK-hw",,55 kg (121 lb)
2010-present,https://kpop.fandom.com//wiki/TOP_Media,TOP Media,https://kpop.fandom.com//wiki/TEEN_TOP,TEEN TOP,Lee Chan-hee (이찬희),"Seongnam, Gyeonggi-do, South Korea",B,,,,,"July 9, 2010",173 cm,,,https://kpop.fandom.com/wiki/Chunji,Chunji,Singer,,,"https://www.instagram.com/teentop_2ch/,https://www.youtube.com/channel/UCfQ_jzLRB5Ko7pyawQJApfQ",,53 kg
2018-present,,,https://kpop.fandom.com//wiki/W24,W24,Chung Ho-won (정호원),"Santiago, Chile",A,,,,,"March 8, 2018",173 cm (5 ft 8 in),,,https://kpop.fandom.com/wiki/Chung_Ho_Won,Chung Ho Won,Singer,,,,,53 kg (117 lb)
2021–present,,,https://kpop.fandom.com//wiki/Rookie_Find,rookie_find,秋怡 (Qiūyí),China,,,,,,,,,,https://kpop.fandom.com/wiki/Chui,Chui,Trainee,,,https://www.instagram.com/cherryins19/,,
2016–present,https://kpop.fandom.com//wiki/MNH_Entertainment,MNH Entertainment,"https://kpop.fandom.com//wiki/I.O.I,https://kpop.fandom.com//wiki/Produce_101","I.O.I,Produce 101",Kim Chan-mi (김찬미),"Seoul, South Korea",B,,,BYULHARANG (별하랑),"Chinese Green,Middle Blue Green,Opera Mauve","May 4, 2016",161 cm (5 ft 3 in),,Kim Chung-ha (김청하),https://kpop.fandom.com/wiki/Chung_Ha,Chung Ha,Singer-songwriter,,,"http://cafe.daum.net/MNH-Chungha,https://www.facebook.com/ChungHa.MNHent,https://www.instagram.com/CHUNGHA_official/,https://www.tiktok.com/@chungha_official,https://twitter.com/CHUNGHA_MNHent,https://channels.vlive.tv/E3437D,https://www.youtube.com/channel/UCDMqegj9gRka1diPqE6sdsA,https://twitter.com/chungha_japan","June 6, 2017",44 kg (97 lb)
2017–2019,https://kpop.fandom.com//wiki/The_Music_Works_Entertainment,The Music Works Entertainment,"https://kpop.fandom.com//wiki/MYTEEN,https://kpop.fandom.com//wiki/MIXNINE","MYTEEN,MIXNINE",Kim Sang-jin (김상진),"Gwangju, South Korea",B,,,,,"July 26, 2017",176cm,,,https://kpop.fandom.com/wiki/Chun_Jin,Chun Jin,Singer,,,"https://www.instagram.com/with_1222/,https://www.youtube.com/channel/UCUNx1_q8S6JkrZbzaOXly8g",,56kg
2015–present,https://kpop.fandom.com//wiki/Star_Road_Entertainment,H.Mate Entertainment,https://kpop.fandom.com//wiki/D.Holic,D.Holic,Chu Hwa-jeong (추화정),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Chu_Hwa_Jeong,Chu Hwa Jeong,Singer,,,"https://www.instagram.com/hwajung95/,https://twitter.com/Dhwajung,https://www.youtube.com/channel/CHUHWAJEONG",,
2020–present,,,https://kpop.fandom.com//wiki/BLITZERS,BLITZERS,Han Chris (한 크리스),,,,,,,"May 12, 2021",,,,https://kpop.fandom.com/wiki/Chris,Chris,Rapper,,,,,
2016-2017,,,https://kpop.fandom.com//wiki/A.De,A.De,Ahn Cho-yoon (안초윤),"Ilsan-gu, Goyang, Gyeonggi-do, South Korea",,,,,,"June 23, 2016",161 cm (5 ft 3 in),,,https://kpop.fandom.com/wiki/Choyoon,Choyoon,Singer,,,,,48 kg (106 lb)
2018–present,https://kpop.fandom.com//wiki/A_team_Entertainment,A team Entertainment,"https://kpop.fandom.com//wiki/BugAboo,https://kpop.fandom.com//wiki/Produce_48","bugAboo,Produce 48",Kim Cho-yeon (김초연),"Hwasun, South Jeolla, South Korea",B,,,,,"October 25, 2021",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Choyeon,Choyeon,Singer,,,https://www.instagram.com/kimchoyeon.official/,,44 kg (97 lb)
2016–present,,,https://kpop.fandom.com//wiki/OhBliss,OhBliss,,,,,,,,,,,,https://kpop.fandom.com/wiki/ChungLyn,ChungLyn,Singer,,,,,
2011–present,https://kpop.fandom.com//wiki/IST_Entertainment,IST Entertainment,https://kpop.fandom.com//wiki/Apink,Apink,Park Cho-rong (박초롱),"Chungcheongbuk-do, South Korea",O,"Park Jong-hwan,Park Eun-jung,Park Seung-hee","[None, None, None]",,,"April 19, 2011",163 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Chorong_(Apink),Chorong,"Singer, rapper, lyricist, actress",,,https://www.instagram.com/mulgokizary/,,46 kg (101 lb)
2008–present,,,"https://kpop.fandom.com//wiki/CAMILA_X,https://kpop.fandom.com//wiki/CAMILA,https://kpop.fandom.com//wiki/LAYSHA","CAMILA X,CAMILA,LAYSHA",Han Cho-im (한초임),"Seoul, South Korea",A,,,,,"August 29, 2018",166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Choim,Choim,"Singer, TV personality, MC, Model",,,"https://www.instagram.com/real_hanchoim/,https://www.youtube.com/channel/choim9088","August 21, 2019",47 kg (104 lb)
2003-present,https://kpop.fandom.com//wiki/Amoeba_Culture,Amoeba Culture,https://kpop.fandom.com//wiki/Dynamic_Duo,Dynamic Duo,Choi Jae-ho (최재호),"Apgujeong-dong, Gangnam-gu, Seoul, South Korea",O,,,,,"May 17, 2004",180 cm (5 ft 11 in),,,https://kpop.fandom.com/wiki/Choiza,Choiza,Rapper,https://kpop.fandom.com//wiki/Sulli,Sulli,https://www.instagram.com/choiza11/,"April 1, 2013",85 kg (187 lb)
2021–present,,,https://kpop.fandom.com//wiki/Wild_Idol,Wild Idol,Choi Yoon-su (최윤수),,,,,,,,,,,https://kpop.fandom.com/wiki/Choi_Yoon_Su,Choi Yoon Su,Trainee,,,,,
2019-present,https://kpop.fandom.com//wiki/A_team_Entertainment,A team Entertainment,"https://kpop.fandom.com//wiki/ISE,https://kpop.fandom.com//wiki/My_Teenage_Girl","ISE,My Teenage Girl",Choi Yun-ju (최윤주),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Choi_Yunju,Yunju,Trainee,,,,,
,,,"https://kpop.fandom.com//wiki/AfterMoon,https://kpop.fandom.com//wiki/SuperBand","AfterMoon,SuperBand",Choi Young-jin (최영진),"Gyeryong, Chungcheongnam-do, South Korea",,,,,,"August 29, 2019",,Drums,,https://kpop.fandom.com/wiki/Choi_Young_Jin,Choi Young Jin,"Musician, composer",,,"https://www.instagram.com/0_jiniii_/,https://cafe.naver.com/cutedrum,https://www.youtube.com/channel/UCRM-7DqGVjItdvmU1kneiBw","May 28, 2020",
2021–present,,,https://kpop.fandom.com//wiki/Azer,Azer,Choi Yu-jin (최유진),"Seocho-gu, Seoul, South Korea",A,,,,,"March 4, 2021",164 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Choi_Yujin_(Azer),Choi Yujin,"Student, singer, dancer",,,https://www.instagram.com/chxudjxd/,,49 kg (108 lb)
2018–present,"https://kpop.fandom.com//wiki/Yue_Hua_Entertainment,https://kpop.fandom.com//wiki/Off_The_Record_Entertainment","Yue Hua Entertainment,Off The Record Entertainment","https://kpop.fandom.com//wiki/IZ*ONE,https://kpop.fandom.com//wiki/Produce_48","IZ*ONE,Produce 48",Choi Ye-na (최예나),"Seoul, South Korea",A,Choi Sung Min,https://kpop.fandom.com//wiki/Choi_Sung_Min,,Yellow,"October 29, 2018",162 cm (5 ft 4 in),,,https://kpop.fandom.com/wiki/Choi_Ye_Na,Choi Ye Na,"Singer, rapper, songwriter, host, actress",,,"https://www.instagram.com/yena.jigumina/,https://twitter.com/YENA_OFFICIAL",c. 2022,44 kg (97 lb)
2018-2020,,,https://kpop.fandom.com//wiki/THE_MAN_BLK,THE MAN BLK,Choi Sung-yong (최성용),,AB,,,,Green,"November 15, 2018",187 cm,,,https://kpop.fandom.com/wiki/Choi_Sung_Yong,Choi Sung Yong,Singer,,,https://www.instagram.com/sungyong_94_/,,73 kg
2021–present,"https://kpop.fandom.com//wiki/P_Nation,https://kpop.fandom.com//wiki/The_Black_Label","P Nation,The Black Label","https://kpop.fandom.com//wiki/P_Nation_LOUD,https://kpop.fandom.com//wiki/LOUD","P Nation LOUD,LOUD",Choi Tae–hun (최태훈),"Incheon, South Korea",A,,,,,,,,,https://kpop.fandom.com/wiki/Choi_Tae_Hun,Choi Tae Hun,"Dancer, singer",,,,,
2020-present,https://kpop.fandom.com//wiki/Moss_Music,Moss Music,https://kpop.fandom.com//wiki/LA_POEM,LA POEM,Choi Sung Hoon (최성훈),"Daegu, South Korea",O,,,,,"July 3, 2020",,,,https://kpop.fandom.com/wiki/Choi_Sung_Hoon,Choi Sung Hoon,Singer,,,https://www.instagram.com/ssunghooon_/,,
2019–present,,,"https://kpop.fandom.com//wiki/Limit,https://kpop.fandom.com//wiki/KingdomS","Limit,KingdomS",Choi Seung-hee (최승희),,A,,,,,"January 19, 2021",171 cm,,,https://kpop.fandom.com/wiki/Choi_Seung_Hee_(Limit),Choi Seung Hee,Dancer,,,https://www.instagram.com/09_seunghee/,,
2010–present,"https://kpop.fandom.com/#cite_note-1,https://kpop.fandom.com//wiki/Core_Contents_Media","[1],Core Contents Media","https://kpop.fandom.com//wiki/Coed_School,https://kpop.fandom.com//wiki/SPEED","Coed School,SPEED",Choi Sung-min (최성민),"Yanggu-gun, Gangwon-do, South Korea",B,Choi Ye Na,https://kpop.fandom.com//wiki/Choi_Ye_Na,,,September 2010,178 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Choi_Sung_Min,Choi Sung Min,"Singer, actor",,,"https://www.instagram.com/from_mean/,https://www.tiktok.com/@from_mean,https://twitter.com/speed_sm",,56 kg (123 lb)
2021–present,,,https://kpop.fandom.com//wiki/My_Teenage_Girl,My Teenage Girl,Choi Soo-bin (최수빈),South Korea,A,,,,,,,,,https://kpop.fandom.com/wiki/Choi_Soobin,Choi Soobin,Trainee,,,,,
2018–present,https://kpop.fandom.com//wiki/A.CONIC,A.CONIC,"https://kpop.fandom.com//wiki/WOW_(group),https://kpop.fandom.com//wiki/T.E.N,https://kpop.fandom.com//wiki/Under_Nineteen","WOW,T.E.N,Under Nineteen",Choi Yong-hun (최용훈),,B,,,,,"May 16, 2018",181 cm (5 ft 11 in),,,https://kpop.fandom.com/wiki/Choi_Yonghun,Choi Yonghun,Rapper,,,"https://www.instagram.com/0_choi/,https://soundcloud.com/y8gtwhpqdae1",,60 kg (130 lb)
2016–2017,https://kpop.fandom.com//wiki/Clevr_E%26M,Clevr E&M,https://kpop.fandom.com//wiki/Vitamin,Vitamin,Choi Seo-yu (최서유),South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Choi_Seoyu,Choi Seoyu,"Actress, model",,,https://www.instagram.com/seoyoo_101017/,,
2017–present,,,https://kpop.fandom.com//wiki/VERMUDA,VERMUDA,Choi Tae-seon (최태선),,,,,,,"June 13, 2017",,,,https://kpop.fandom.com/wiki/Choi_Seon,Choi Seon,Singer,,,https://www.instagram.com/choiseon114/,,
2021–present,,,https://kpop.fandom.com//wiki/My_Teenage_Girl,My Teenage Girl,Choi Sa-rang (최사랑),South Korea,B,,,,,,,,,https://kpop.fandom.com/wiki/Choi_Sarang,Choi Sarang,Trainee,,,,,
2014–present,,,https://kpop.fandom.com//wiki/Year_7_Class_1,Year 7 Class 1,Go Eun Shil (고은실),"Seoul, South Korea",,Yoohwa,https://kpop.fandom.com//wiki/Yoohwa,,,,158 cm (5’2′),,,https://kpop.fandom.com/wiki/Eunshil,Eunshil,Singer,,,,,47 kg (103 lbs)
2019–present,,,https://kpop.fandom.com//wiki/N.CUS,N.CUS,,"Seoul, South Korea",B,,,,,"August 27, 2019",173 cm (5 ft 8 in),,,https://kpop.fandom.com/wiki/Euntaek,Euntaek,"Dancer, singer",,,,,51 kg (112 lb)
2016–present,"https://kpop.fandom.com//wiki/OSR_Entertainment,https://kpop.fandom.com//wiki/Pledis_Entertainment","OSR Entertainment,Pledis Entertainment","https://kpop.fandom.com//wiki/HINAPIA,https://kpop.fandom.com//wiki/PRISTIN,https://kpop.fandom.com//wiki/PRISTIN_V,https://kpop.fandom.com//wiki/Produce_101","HINAPIA,PRISTIN,PRISTIN V,Produce 101",Jung Eun-woo (정은우),"Bucheon, South Korea",B,,,,,"March 21, 2017",166.6 cm (5 ft 5.6 in),,,https://kpop.fandom.com/wiki/Eunwoo_(HINAPIA),Eunwoo,"Singer, songwriter, composer",,,https://www.instagram.com/j_e_w_w_w/,,48 kg (106 lb)
2014–present,https://kpop.fandom.com//wiki/MY_Entertainment,MY Entertainment,https://kpop.fandom.com//wiki/Sunny_Hill,Sunny Hill,Lee Seung-ah (이승아),South Korea,,,,,,"October 25, 2019",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Eunju_(Sunny_Hill),Eunju,Singer,,,"https://www.facebook.com/RayBluestv,https://www.instagram.com/eunjuchoigo/,https://www.youtube.com/user/RayBluesTV","August 1, 2014",
2018–present,,,https://kpop.fandom.com//wiki/SPECTRUM_(group),SPECTRUM,Choi Eun-jun (최은준),,A,,,,,"May 10, 2018",175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Eunjun,Eunjun,Singer,,,,,61 kg (134 lb)
1995–present,https://kpop.fandom.com//wiki/MBK_Entertainment,MBK Entertainment,"https://kpop.fandom.com//wiki/T-ARA,https://kpop.fandom.com//wiki/T-ARA_N4","T-ARA,T-ARA N4",Ham Eun-jung (함은정),"Seoul, South Korea",O,,,Sweet Mate,,"July 29, 2009",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Eunjung_(T-ARA),Eunjung,"Singer, actress",,,,"July 29, 2009",47 kg (104 lb)
2017–present,,,"https://kpop.fandom.com//wiki/DreamNote,https://kpop.fandom.com//wiki/MIXNINE","DreamNote,MIXNINE",Park Eun-jo (박은조),"Icheon, Gyeonggi-do, South Korea",A,,,,,"November 7, 2018",164 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Eunjo_(DreamNote),Eunjo,Singer,,,,,46 kg (101 lb)
2016–2019,,,https://kpop.fandom.com//wiki/HIGHTEEN,HIGHTEEN,Moon Eun-jin (문은진),South Korea,,,,,,,168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Eunjin_(HIGHTEEN),Eunjin,"Model, singer",,,https://www.instagram.com/jiwon_love11/,,
2014–2015,,,https://kpop.fandom.com//wiki/Alice_White,Alice White,,South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Eunjo,Eunjo,Singer,,,,,
2013–2016,,,https://kpop.fandom.com//wiki/GI,GI,Jung Eun-ji (정은지),"Jeju Island, South Korea",,,,,,"April 3, 2013",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/Eunji_(GI),Eunji,Singer,,,,,44 kg (97 lb)
2015–2018,https://kpop.fandom.com//wiki/MBK_Entertainment,MBK Entertainment,"https://kpop.fandom.com//wiki/DIA_(group),https://kpop.fandom.com//wiki/L.U.B","DIA,L.U.B",Ahn Eun-jin (안은진),"Mokpo, South Jeolla, South Korea",A,,,,,"September 14, 2015",170 cm (5 ft 7 in),,,https://kpop.fandom.com/wiki/Eunjin_(DIA),Eunjin,Rapper,,,"https://www.instagram.com/eun_jin3851/,https://www.youtube.com/channel/UCpOK0bS8Dke7S5wQh5FdcZQ",,49 kg (108 lb)
2016–present,https://kpop.fandom.com//wiki/Brave_Entertainment,Brave Entertainment,"https://kpop.fandom.com//wiki/Brave_Girls,https://kpop.fandom.com//wiki/The_Unit","Brave Girls,The Unit",Hong Eun-ji (홍은지),"Yeosu, Jeollanam-do, South Korea",AB,,,,,"February 16, 2016",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Eunji_(Brave_Girls),Eunji,Singer,,,"https://www.instagram.com/bg_eunji92/,https://www.tiktok.com/@bravegirls_eunji,https://twitter.com/braveunji",,48 kg (106 lb)
2011–present,https://kpop.fandom.com//wiki/IST_Entertainment,IST Entertainment,https://kpop.fandom.com//wiki/Apink,Apink,Jung Hye-rim (정혜림),"Haeundae, Busan, South Korea",B,Jung Min-ki,[None],,,"April 19, 2011",162 cm (5 ft 4 in),,Jeong Eun-ji (정은지),https://kpop.fandom.com/wiki/Eunji_(Apink),Eunji,"Singer, songwriter, actress, voice actress",,,"https://www.instagram.com/artist_eunji/,https://twitter.com/Apinkjej,https://www.youtube.com/channel/UCHTZl9wrDAV45L8IPS7ZYzg","April 18, 2016",48 kg (106 lb)
